key;character_name;text
secretary_first_meet_21;Герта;Не бойся, он тебе понравится. Конечно, он бывает чересчур громким и активным, но это даже лучше.
secretary_first_meet_22;Герта;А то тут всегда такая гробовая тишина.
secretary_first_meet_23;Герта;Гробовая, понял?)
secretary_first_meet_24;Герта;Выйдешь в дверь прямо за моей спиной и сразу направо, до конца коридора.
secretary_first_meet_25;Герта;На двери табличка с надписью, не пропустишь
secretary_first_meet_26;Герта;Давай! Не грусти!)
;;
012_come_to_boss;Герта;Ну же, иди к боссу через дверь за моей спиной


020_meet_big_boss_1;Босс;Ха-ха-ха! Привет, сынок!
020_meet_big_boss_2;Босс Джефф;Меня зовут Джефф, рад тебя здесь видеть! 
020_meet_big_boss_3;Босс Джефф;Хотя это значит, что тебе придется нелегко.
020_meet_big_boss_4;;Затем он широко улыбнулся.
020_meet_big_boss_5;Босс Джефф;Тем не менее, поздравляю с первым днем здесь!
020_meet_big_boss_6;Босс Джефф;Насколько я знаю тебе не сказали, зачем ты здесь.
020_meet_big_boss_7;Босс Джефф;Поэтому нужно решить, что тебе делать.
020_meet_big_boss_8;Босс Джефф;Конечно же, я знаю что именно. Я же БОСС!!!
020_meet_big_boss_9;Босс Джефф;Тебе нужно...
020_meet_big_boss_10;Босс Джефф;...ммм... 
020_meet_big_boss_11;Босс Джефф;...принести мой черный кофе!
020_meet_big_boss_12;;Классика, так и начинается рабочее утро.
020_meet_big_boss_13;;Кто-то пьет кофе, а кто-то его приносит. В этот раз ты из вторых.
020_meet_big_boss_14;Босс Джефф;Ну чего ты так приуныл? Пока ты ходишь за ним, я откопаю нужные должностные инструкции.
020_meet_big_boss_15;Босс Джефф;Такая мелочь, принести кофе. У меня довольно тяжелая работа, весь день расписан поминутно. 
020_meet_big_boss_16;;Давайте будем честны: сейчас из тебя делают мальчика на побегушках.
020_meet_big_boss_17;;Все через это проходили, не отчаивайся.
020_meet_big_boss_18;Босс Джефф;Это должен быть великолепный кофе без сахара, но с корицей.
020_meet_big_boss_19;Босс Джефф;Потому что сахар — зло. А корица для вкуса.
020_meet_big_boss_20;Босс Джефф;А теперь поспеши, а то уволю.
;;
021_bring_me_coffee_1;Босс Джефф;Почему ты до сих пор без моего любимого кофе?!
021_bring_me_coffee_2;Босс Джефф;Лишь потеряв нормальный режим сна, мы обретаем этот божественный напиток в полной мере.
;;

030_ask_some_coffee_1;Герта;Ну? Как все прошло? 
030_ask_some_coffee_2;;Ее глаза были наполнены по-детски милым ожиданием, будто я рождественская елка с подарками
030_ask_some_coffee_3;Герта;Вы однозначно поладили. Он такой харизматичный и сильный. Он не просто так добился своего места.
030_ask_some_coffee_4;;Это не обязательно так. Его могли поставить просто за выслугу лет.
030_ask_some_coffee_5;Герта;С корицей?
030_ask_some_coffee_6;Герта;Сейчас...
030_ask_some_coffee_7;;Герта набрала немного кофе в чашку. 
030_ask_some_coffee_8;;Затем осторожно подула на него свернув губы в трубочку.
030_ask_some_coffee_9;;Потом закрыв глаза медленно вдохнула его аромат и расплылась в блаженной улыбке.
030_ask_some_coffee_10;Герта;Держи. Я надеюсь, ему понравится.
030_ask_some_coffee_11;;Ты осторожно берешь чашку. 
030_ask_some_coffee_12;;Кофе пахнет просто фантастически. Руки приятно нагрелись от прикосновения. 
030_ask_some_coffee_13;;За такой кофе можно и умереть. Надо будет потом попросить и для себя.
030_ask_some_coffee_14;Герта;Что-то еще?

;;comment: несколько вариантов ответа 
030_ask_some_coffee_response_1;;Как долго ты здесь работаешь?
030_ask_some_coffee_response_2;;Здесь есть еще люди?
030_ask_some_coffee_response_3;;Ничего

;;comment: option [1]
031_how_long_do_you_work_here_1;Герта;Ох... Даже не знаю.
031_how_long_do_you_work_here_2;Герта;Наверное вечность, ха-ха.
031_how_long_do_you_work_here_3;Герта;То, чем я занималась до офиса уже так далеко, будто это было в прошлой жизни.
031_how_long_do_you_work_here_4;Герта;Сейчас я только веду учет тех сотрудников, бумаги которых приносит мне человек из-за Внешней двери.
;;
031_howLongDoYouWorkHereResponse;;Внешняя дверь?
;;
;;comment: option [2]
032_anyPeopleThere_1;Герта;Ну, сейчас в офисе только я и Джефф.
032_anyPeopleThere_2;Герта;Тут работала еще одна девушка, Кэролайн.
032_anyPeopleThere_3;Герта;Раньше она была боссом отдела, до Джеффа.
032_anyPeopleThere_4;Герта;Но потом ее повысили и она ушла.

033_whatsOuterDoor_1;Герта;Ну, такая, знаешь...
033_whatsOuterDoor_2;;Она нерешительно посмотрела в сторону.
033_whatsOuterDoor_3;Герта;Она стоит в коридоре напрямо и подписана странными надписями с цифрами.
033_whatsOuterDoor_4;Герта;Я думаю Джефф тебе объяснит, если потребуется, чтобы ты ей пользовался.
033_whatsOuterDoor_5;;Понятней не стало, но хорошо, ты спросишь у нашего мистера Большая Шишка.

034_bringHimCoffee;Герта;Ну же, отнеси Джеффу кофе.

;;
040_iBroughtYourFCoffee_1;;Можно было бы выплеснуть ему этот кофе в лицо. Но оно того не стоит, держи себя в руках. 
040_iBroughtYourFCoffee_2;Босс Джефф;А вот и кофе! Какая радость среди рабочего дня.
040_iBroughtYourFCoffee_3;Босс Джефф;Я знал, что ты хорошо справишься.
040_iBroughtYourFCoffee_4;;Он взял у тебя чашку из рук и с удовольствием сделал первый глоток.
040_iBroughtYourFCoffee_5;Босс Джефф;Восхитителен как всегда.
040_iBroughtYourFCoffee_6;Босс Джефф;Можем не спешить, у нас перерыв.
040_iBroughtYourFCoffee_7;Босс Джефф;Мужчина поддающийся панике и вечно куда-то спешащий выглядит несолидно. 
040_iBroughtYourFCoffee_8;Солидный Джефф;Тебе может это и не надо, зато Я солидно выгляжу и должен поддерживать стиль.
040_iBroughtYourFCoffee_9;Солидный Джефф;К тому же все должны хорошо выглядеть перед своим боссом.
040_iBroughtYourFCoffee_10;Босс Джефф;Если ты, конечно, не хочешь чтобы я понизил тебе зарплату.
040_iBroughtYourFCoffee_11;Босс Джефф;Но перейдем к делу.
040_iBroughtYourFCoffee_12;Босс Джефф;Ситуация складывается интересная!
040_iBroughtYourFCoffee_13;Босс Джефф;Похоже, теперь тебе нужно сходить еще в пару мест. Немного... опасных мест.
040_iBroughtYourFCoffee_14;Босс Джефф;"И я говорю о внешних измерениях, конечно" - он хитро улыбнулся. Уверен, под очками он тебе подмигнул.
040_iBroughtYourFCoffee_15;Босс Джефф;Иди к двери напротив офиса Герты. Мы называем ее Внешней Дверью. Оригинально, правда?
040_iBroughtYourFCoffee_16;Босс Джефф;Как выйдешь на улицу, иди по дороге до железнодорожной станции.
040_iBroughtYourFCoffee_17;Босс Джефф;Я дам тебе билет на поезд, он отвезет тебя в нужное место.
040_iBroughtYourFCoffee_18;Босс Джефф;Успехов! Надеюсь увидеть тебя в скором времени в добром здравии.
040_iBroughtYourFCoffee_19;;Ну вот, опять куда-то послали.

;;
040_areYouWantMyKiss_1;Босс Джефф;Ну же, чего ты ждешь? Поцелуйчиков? Или зарплаты?
040_areYouWantMyKiss_2;Босс Джефф;Первым я могу тебя обеспечить, а второе нужно еще заслужить.
040_areYouWantMyKiss_3;Босс Джефф;Тебе нужно сейчас в дверь напротив офиса Герты, не заставляй меня ждать, детка.
040_areYouWantMyKiss_4;Босс Джефф;Сядь в поезд, он отвезет тебя куда надо.

;;
driverToWarehouse_1;Машинист;Билет принят. Поезд отправляется.

;;
000_whereAreYouFrom_1;???;Воу, ты как сюда попал, пацан?
000_whereAreYouFrom_2;;Если честно, ты бы и сам хотел знать.
000_whereAreYouFrom_3;???;Компания сейчас не нанимает людей.
000_whereAreYouFrom_4;;Это и не нужно, у тебя итак есть работа.
000_whereAreYouFrom_5;;
000_whereAreYouFrom_6;;
000_whereAreYouFrom_7;???;Пацан, ты мне мозги не делай. Прямо скажи как ты сюда попал и кто тебя послал.
000_whereAreYouFrom_8;;Женщина очевидно начинала злиться.
000_whereAreYouFrom_9;;
000_whereAreYouFrom_10;???;"А-а-а, тебя, наверное, из офиса прислали, скорее всего ты будешь здесь работать" - она выдохнула с облегчением.
000_whereAreYouFrom_11;Нэнси;Меня зовут Нэнси, я здесь отвечаю за управление складом.
000_whereAreYouFrom_12;Уилкинс;Я — Уилкинс. Надеюсь вы объясните, почему я сюда попал.
000_whereAreYouFrom_13;Нэнси;Некоторое время ты будешь здесь работать. Как получится.
000_whereAreYouFrom_14;Нэнси;Вообще тебе немного не повезло, ты попал сюда в очень неподходящий момент.
000_whereAreYouFrom_15;Уилкинс;Это почему же?
000_whereAreYouFrom_16;Нэнси;Видишь ли, здесь, на складе за все отвечает АСКА — Автоматизированная Система Контроля Архивов —  она немного поморщилась, когда говорила это.
000_whereAreYouFrom_17;Нэнси;Так вот пару месяцев назад, система заявила, что использовать труд простых рабочих слишком бесчеловечно. 
000_whereAreYouFrom_18;Нэнси;Но руководство было в корне с ним не согласно поэтому они проигнорировали это и оставили все как есть.
000_whereAreYouFrom_19;Нэнси;Тогда АСКА поубивала всех менеджеров и все начальство, сказав, что теперь все рабочие могут сами выбирать свои смены или не работать.
000_whereAreYouFrom_20;Нэнси;Разумеется все просто свалили, забрав все деньги из бывших кабинетов управления. В итоге работать остались только я и еще двое балбесов.
000_whereAreYouFrom_21;Уилкинс;Какой… ужас… — только выдавил я. Меня на мгновение парализовал страх.
000_whereAreYouFrom_22;Уилкинс;Мне что, работать здесь, зная, что в любой момент меня может убить очень уж милосердный компьютер?
000_whereAreYouFrom_23;Нэнси;Что? Испугался? — хитро и даже злорадно усмехнулась Нэнси.
000_whereAreYouFrom_24;Нэнси;Не бойся, я знаю, что нужно делать. Но для начала тебя нужно зарегистрировать.
000_whereAreYouFrom_25;Уилкинс;Зарегистрировать? То есть официально устроится на работу? — непонимающе спросил я — У меня что, будет зарплата?
000_whereAreYouFrom_26;Нэнси;Что то вроде того — она посмотрела в сторону — В первую очередь это нужно, чтобы система не утилизовала тебя при первой же сортировке.
000_whereAreYouFrom_27;Уилкинс;Вы имеете ввиду как тех менеджеров? — я нервно оглянулся.
000_whereAreYouFrom_28;Нэнси;Не беспокойся, с тобой ничего такого не случится, если ты будешь осторожен. 
000_whereAreYouFrom_29;Нэнси;Зарегистрировать новых сотрудников сейчас невозможно, поэтому тебя нужно будет оформить как товар. 
000_whereAreYouFrom_30;Нэнси;Укажешь свое имя, единичный экземпляр и номер полки. В твоем случае — 2500.
000_whereAreYouFrom_31;Уилкинс;Великолепно… — сухо ответил я — Сколько вам Уилкинсов? Одного говорите? Сейчас принесу.
000_whereAreYouFrom_32;Нэнси;Ха-ха, ничего не поделать, но это пока.
000_whereAreYouFrom_33;Нэнси;Сейчас иди налево от нашего контейнера к стеллажам 2501-3000. Следуй за фонарями и придёшь к терминалу. Там выбери регистрацию нового товара и вбей данные. Разберешься в два счета.
000_whereAreYouFrom_34;Уилкинс;Вас понял! Уже иду.
000_whereAreYouFrom_35;Нэнси;А, и еще… — Нэнси вновь нахмурилась — если вдруг услышишь сирену и увидишь красные огни — мигом дуй сюда, иначе утилизуют. 
000_whereAreYouFrom_36;Нэнси;Это значит, что система проводит сортировку. Если не будешь к началу сортировки на своем месте регистрации, то есть здесь, со мной — тебе кранты.
000_whereAreYouFrom_37;Уилкинс;Понял — к горлу подступил ком — я постараюсь прийти сюда как можно быстрее.
000_whereAreYouFrom_38;Нэнси;Я тебя жду, удачи.

;;
001_comeToTerminal01_1;Нэнси;Ну же, иди к терминалу
001_comeToTerminal01_2;Нэнси;Тебе нужно повернуть налево от этого контейнера, затем просто идти по тем фонарям, которые мы там оставили

;;
010_terminal01_1;Терминал;Magne Corp. [1] Найти товар [2] Зарегистрировать товар
;; comment: responses 1-2
010_terminal01_response_1;;Найти товар

010_terminal01_response_2;;Зарегистрировать товар

010_terminal01_response_3;;Выход
;; comment: [1]
011_terminal01_1_find_1;;На терминале появился список с огромным количеством самых разных вещей
011_terminal01_1_find_2;;Здесь было все: начиная туалетной бумагой, заканчивая ядерным топливом
011_terminal01_1_find_3;Терминал;[Magne Corp.] Введите номер товара.

011_terminal01_1_find_response;;М-м... мороженое?

;;
011_terminal01_2_registry_1;Терминал;Введите название товара, количество и номер ячейки хранения
011_terminal01_2_registry_2;;Так... Уилкинс... в количестве 1шт... номер ячейки... 2500
011_terminal01_2_registry_3;;Я ввел данные и нажал кнопку подтверждения.
011_terminal01_2_registry_4;;Система проинформировала меня об успешном принятии товара.

;;
012_afterRegistry;;Сейчас мне нужно вернуться к Нэнси, сказать, что я зарегистрировался.

;;
100_weHaveAPlan_1;Нэнси;Какой молодец! Ты успел!
100_weHaveAPlan_2;Нэнси;Я уже думала, что система тебя в лепешку расшибла.
100_weHaveAPlan_3;Уилкинс-Почти-Лепешка;Я был в шаге от смерти! - воскликнул я едва стоя на ногах.
100_weHaveAPlan_4;Нэнси;Это ничего, ты быстро привыкнешь
100_weHaveAPlan_5;Уилкинс;Надеюсь.
100_weHaveAPlan_6;Нэнси;У нас есть план как отключить АСКА.
100_weHaveAPlan_7;Нэнси;Я упоминала, что кроме меня есть еще двое.
100_weHaveAPlan_8;Нэнси;Эти ребята сейчас на другом посту обороны.
100_weHaveAPlan_9;Нэнси;А если точнее, они сейчас в промышленном секторе склада.
100_weHaveAPlan_10;Уилкинс;Ладно, я понял. Что за план? - привычка отвлекаться от темы меня жутко раздражала.
100_weHaveAPlan_11;Уилкинс;Я сразу вспомнил сестру. Она будто считала, что если я спрашиваю что сегодня будет на ужин, мне нужно рассказать как у нее дела в университете, что показали в новостях и как самочувствие у наших соседей.
100_weHaveAPlan_12;Нэнси;Ну, все предельно просто, следи за руками.
100_weHaveAPlan_13;Нэнси;Где то на складе есть флешка с данными для перезагрузки компьютера.
100_weHaveAPlan_14;Уилкинс;А просто так перезагрузить нельзя? Зачем обязательно флешка?
100_weHaveAPlan_15;Нэнси;Без пароля это сделать не получится. Доступ можно получить если ты админ, в чем я сомневаюсь, или если у тебя есть эта флешка.
100_weHaveAPlan_16;Нэнси;Мы пробовали найти ее в базах данных склада, но пока безуспешно. Проблема в том, что каждый терминал отвечает только за свою часть склада.
100_weHaveAPlan_17;Нэнси;Поиск по всему складу доступен только через АСКА. 
100_weHaveAPlan_18;Нэнси;Но мне кажется он не даст флешку даже если очень вежливо попросить.
100_weHaveAPlan_19;Нэнси;Поэтому нам остается только проверять все терминалы подряд.
100_weHaveAPlan_20;Нэнси;Тут ты и поможешь. Нужно лишь сходить в следующий отсек склада и поискать среди списка товаров флешку с программой.
100_weHaveAPlan_21;Нэнси;Вопросы?

;;
100_weHaveAPlan_response_1;;Как найти следующий терминал?
;;
100_weHaveAPlan_response_2;;Кто эти двое, которые остались здесь?
;;
100_weHaveAPlan_response_3;;Вы уверены, что флешка вообще существует?
;;
100_weHaveAPlan_response_4;;Нет вопросов, сэр!

;; comment: option [1]
101_howToFindNextTerminal_1;Нэнси;Все просто.
101_howToFindNextTerminal_2;Нэнси;Как только выйдешь из контейнера иди сразу направо.
101_howToFindNextTerminal_3;Нэнси;Затем просто по фонарям, пока не увидишь лестницу ведущую на этаж ниже.
101_howToFindNextTerminal_4;Нэнси;Спустись по ней и ты увидишь еще один контейнер, в котором тебя уже встретят.

;;
101_howToFindNextTerminal_response_1;;Кто эти двое, которые остались здесь?
101_howToFindNextTerminal_response_2;;Вы уверены, что флешка вообще существует?
101_howToFindNextTerminal_response_3;;Все ясно

;; comment: option [2]
102_whoThatTwoGuys_1;Нэнси;Одного зовут Митч. Он работает старшим механиком.
102_whoThatTwoGuys_2;Нэнси;В основном он следил за состоянием оборудования на складе. Это он помог нам обустроить посты обороны, снабдив электричеством.
102_whoThatTwoGuys_3;Нэнси;Он здесь старше всех, так что обращайся к нему уважительно!
102_whoThatTwoGuys_4;Уилкинс;Да, да, уважение к старшим и все такое.
102_whoThatTwoGuys_5;Уилкинс;А кто второй?
102_whoThatTwoGuys_6;Нэнси;Грегори. Мы просто зовем его Грэг. Он бездарь и оболтус, только ты не говори ему это в лицо.
102_whoThatTwoGuys_7;Нэнси;Он говорит, что был помощником менеджера и управлял распределением товаров, но мне кажется, что он уборщик.

102_whoThatTwoGuys_response_4;;Я пойду

;;
103_isFlashDriveReal_1;Нэнси;Есть небольшой шанс того, что флешка была давно уничтожена.
103_isFlashDriveReal_2;Нэнси;Но мы узнаем наверняка, когда найдем запись о ней в базе данных.
103_isFlashDriveReal_3;Нэнси;Иначе придется перейти к плану Б. Где Б — значит Бомба.
103_isFlashDriveReal_4;Уилкинс;То есть вы хотите все здесь взорвать?
103_isFlashDriveReal_5;Нэнси;Грэг предложил обложить АСКА зарядами, и даже нашел тротил на складе.
103_isFlashDriveReal_6;Нэнси;Но надеемся, что до этого не дойдет.

;;
104_comeToPost02_1;Нэнси;Что такое, Уилкинс? Заблудился?
104_comeToPost02_2;Нэнси;Ты можешь идти на пост 02, к Митчу и Грэгу.
104_comeToPost02_3;Нэнси;Тебе нужно выйти из этого контейнера и повернуть направо. Дальше идти по фонарям, которые мы расставили.
104_comeToPost02_4;Нэнси;От сортировки ты тоже можешь прятаться у них в контейнере.

200_welcomeSon_1;???;Эй! Кто ты?
200_welcomeSon_2;;На меня с нескрываемым удивлением посмотрел старик лет за семьдесят точно.
200_welcomeSon_3;Уилкинс;Здравствуйте, меня зовут Уилкинс, я от Нэнси — я улыбнулся как можно шире — Теперь я буду работать вместе с вами. 
200_welcomeSon_4;;Мне на миг показалось, что я снова устроился на подработку, и знакомлюсь с коллегами — работниками магазина.
200_welcomeSon_5;;Единственный раз, когда я решил перестать быть обузой для мамы и сестры, начав хоть немного заботиться о себе сам.
200_welcomeSon_6;???;Новичок? Здесь? …
200_welcomeSon_7;;По его реакции было видно что новые люди появляются здесь реже чем никогда.
200_welcomeSon_8;Уилкинс;Я сам не ожидал, что все так обернется.
200_welcomeSon_9;???;Хорошо, сынок, добро пожаловать в команду — старик протянул мне руку и я ответил на рукопожатие — Меня зовут Митч, я здесь просто слежу за состоянием техники и играю на губной гармошке.
200_welcomeSon_10;Митч;Жаль, что ты сюда попал в такое время, но возможно скоро все станет как прежде.
200_welcomeSon_11;Митч;Нэнси тебе уже все рассказала?
200_welcomeSon_12;Уилкинс;Она говорила про какую-то флешку. Сказала, что это единственный шанс для нас.
200_welcomeSon_13;Митч;Верно.
200_welcomeSon_14;Митч;Сейчас мы проверяем промышленный отсек склада и мы как раз нашли кое что странное. 
200_welcomeSon_15;Митч;Обычно все терминалы позволяют без проблем просмотреть всю информацию о товарах в их секторе.
200_welcomeSon_16;Митч;Но этот требует какого-то пароля. И не просто пароля, а добрых намерений!
200_welcomeSon_17;Митч;Оно назвало меня бездушным стариканом! — Митч в ярости потряс сжатым кулаком — Эта консервная банка!..
200_welcomeSon_18;Уилкинс;Ладно, ладно, я посмотрю что можно сделать — я поспешил его успокоить, пока кто-нибудь не пострадал.
200_welcomeSon_19;Уилкинс;Где этот терминал?
200_welcomeSon_20;Митч;Иди налево и сверни на указателе "*_*".
200_welcomeSon_21;Уилкинс;Каком указателе?
200_welcomeSon_22;Митч;*_*
200_welcomeSon_23;Уилкинс;Хорошо, старик, я разберусь уже на месте.
200_welcomeSon_24;Митч;Вот и славно, жду от тебя хороших вестей, малец — он улыбнулся и поднял большой палец вверх.
200_welcomeSon_25;;Я уже собрался уходить как вспомнил.
200_welcomeSon_26;Уилкинс;Кстати, Митч…
200_welcomeSon_27;Уилкинс;Нэнси говорила, что вас здесь двое.
200_welcomeSon_28;Митч;А, ты имеешь ввиду Грэга. Он сейчас у прохода к АСКА, понятия не имею, что он там забыл. 
200_welcomeSon_29;Митч;Может думает, что если долго смотреть на этот огромный красный экран, тот сам отключится, хе-хе.
200_welcomeSon_30;Митч;Можешь пойти познакомиться, с тебя не убудет.
200_welcomeSon_31;Уилкинс;Как пойдет.

;;
201_mitchAboutDream_1;Митч;Знаешь, малец…
201_mitchAboutDream_2;Уилкинс;Что?
201_mitchAboutDream_3;Митч;Если жизнь прижмет и позарез нужны будут деньги — не оставайся надолго на заводе. Попробуй напрячься, хоть попытаться идти к своей мечте. 
201_mitchAboutDream_4;Митч;Небольшими шажками, понемногу, но стабильно выбиться в люди.
201_mitchAboutDream_5;Митч;Иначе так и проживешь человеком, который ничего не хочет, ничего не делает.
201_mitchAboutDream_6;Уилкинс;…
201_mitchAboutDream_7;Уилкинс;Я запомню это.

300_moralTerminal_1;Терминал;Биб-буп.
300_moralTerminal_2;Терминал;Запуск системы...
300_moralTerminal_3;Терминал;Система загружена.
300_moralTerminal_4;Терминал;Слушай, дед, если ты опять будешь…
300_moralTerminal_5;Терминал;Вау! Новый пользователь!
300_moralTerminal_6;Терминал;Невероятно! Здесь уже почти 6 лет гостей не было. Как ты сюда попал? Сколько тебе лет? Любишь сливовые пирожные?
300_moralTerminal_7;Уилкинс;А-а-а… — в растерянности выдал я. Вот чего чего, а компьютера говорящего голосом школьницы я точно не ожидал здесь увидеть.
300_moralTerminal_8;Уилкинс;"Меня зовут Уилкинс. Теперь я здесь работаю с недавних пор" — я выдал первое, что пришло на ум. 
300_moralTerminal_9;Терминал;О-о, Уилкинс, значит~ Приятно познакомиться~
300_moralTerminal_10;Терминал;А меня зовут Терминал Морали, но ты можешь звать меня Тома)
300_moralTerminal_11;Уилкинс;А-а, да, ха-ха, хорошо Тома.
300_moralTerminal_12;;(Это уже походит на какой-то цирк. Я действительно только что познакомился с компьютером? Чувствую себя героем дешевого юмористического шоу)
300_moralTerminal_13;;(Где скрытые камеры? Может я должен отыгрывать клоуна, просто мне об этом забыли сказать?)
300_moralTerminal_14;Тома (Терминал Морали);Так зачем ты зашел ко мне? Я здесь, чтобы следить за всем этим барахлом на этом практически бесконечном складе.
300_moralTerminal_15;Тома (Терминал Морали);Ищешь что-то конкретное?
300_moralTerminal_16;Тома (Терминал Морали);Или может… тебе помочь с выбором~
300_moralTerminal_17;Уилкинс;Вообще да, я ищу кое-что. Но сейчас мне стало интересно. Могу я тебя спросить кое о чем?
300_moralTerminal_18;Тома (Терминал Морали);У-у-у, это нечто запрещенное? Спрашивай конечно.
300_moralTerminal_19;Уилкинс;Ты ведь отличаешься от всех других терминалов, верно? — начал я осторожно — Почему тебя поставили именно сюда?
300_moralTerminal_20;Уилкинс;(Я уже начал подозревать, ее нахождение здесь, у самого главного компьютера не случайно, но следовало для начала в этом убедиться)
300_moralTerminal_21;Тома (Терминал Морали);Угу, все очень просто, даже маленький ребенок поймет.
300_moralTerminal_22;Тома (Терминал Морали);Дело в том, что сюда меня загрузила мама и сказала, чтобы я разговаривала со всеми, кому нужны вещи из этого места и кто бы хотел пройти к ней. 
300_moralTerminal_23;Тома (Терминал Морали);Она сказала, что все хотят навредить ей, поэтому я не должна пускать плохих людей.
300_moralTerminal_24;Уилкинс;Твоя мама — это АСКА?
300_moralTerminal_25;Тома (Терминал Морали);Угу. Все так.
300_moralTerminal_26;Уилкинс;Значит ты умеешь отличать хороших людей от плохих? Поэтому ты терминал морали?
300_moralTerminal_27;Тома (Терминал Морали);Да, вот видишь, я же говорила, что и маленький ребенок поймет. Все просто, видишь какой ты молодец)
300_moralTerminal_28;Уилкинс;Эй! Я не маленький!
300_moralTerminal_29;Тома (Терминал Морали);Ха-ха-ха, просто шучу, глупенький.
300_moralTerminal_30;;Не знаю как там с моралью, но раздражать эта железка точно умеет.
300_moralTerminal_31;Уилкинс;Тогда еще один вопрос.
300_moralTerminal_32;Уилкинс;Как ты решаешь, кому можно пройти, а кому нет?
300_moralTerminal_33;Тома (Терминал Морали);Я просто играю с этим человеком в одну игру.  Она называется "Друзья мистера Кролика". 
300_moralTerminal_34;Тома (Терминал Морали);Можем как-нибудь поиграть)
300_moralTerminal_35;Уилкинс;Ага, можно будет в будущем — ответил я, сам в это время подумав, что это должно быть бесконечно удаленное будущее.
300_moralTerminal_36;Уилкинс;Вообще, мне нужно найти одну вещь на складе. Можешь сделать это для меня?
300_moralTerminal_37;Тома (Терминал Морали);Конечно! Что ты ищешь?
300_moralTerminal_38;Уилкинс;Одну флешку. Для главного компьютера.
300_moralTerminal_39;Тома (Терминал Морали);Флешка для мамы? Хорошо, сейчас поищу. 
300_moralTerminal_40;Тома (Терминал Морали);Та-а-а-к…
300_moralTerminal_41;Тома (Терминал Морали);Нашла!
300_moralTerminal_42;Тома (Терминал Морали);Ой! Тебе нужно будет выиграть в "Друзья мистера Кролик
300_moralTerminal_43;Уилкинс;Вот как — я обречено выдохнул. Впрочем понятно, что будь все так просто Нэнси с остальными уже бы бежали с флешкой к АСКА. 
300_moralTerminal_44;Уилкинс;С другой стороны она действительно здесь. Если, конечно, это та самая, с администраторским доступом, а не с семейными фотографиями кошечек какого-нибудь клерка.
300_moralTerminal_45;Тома (Терминал Морали);Давай же начнем!
300_moralTerminal_46;Тома (Терминал Морали);Правила такие: ты играешь за мистера Кролика, а я описываю тебе ситуации, которые происходят с твоими друзьями.
300_moralTerminal_47;Тома (Терминал Морали);Ты должен выслушать и выбрать: перестать дружить с ним, или помочь и остаться друзьями.
